啊|ā|ah
爱情|àiqíng|love
安静|ānjìng|Quiet
爱人|àirén|spouse
安全|ānquán|Safety
白色|báisè|White
班长|bānzhǎng|Squad Leader
办|bàn|manage
办法|bànfǎ|way
办公室|bàngōngshì|office
半夜|bànyè|midnight
帮助|bāngzhù|help
饱|bǎo|full
报名|bào//míng|Sign up
报纸|bàozhǐ|newspaper
北方|běifāng|north
背|bèi|back
比如|bǐrú|for example
比如说|bǐrúshuō|For example
笔|bǐ|Pen
笔记|bǐjì|notes
笔记本|bǐjìběn|notebook
必须|bìxū|must
边|biān|side
变|biàn|Change
变成|biànchéng|become
遍|biàn|all over
表|biǎo|surface
表示|biǎoshì|express
不错|bùcuò|good
不但|bùdàn|Not only
不够|bùgòu|not enough
不过|bùguò|but
不太|bù tài|Not really
不要|bùyào|don't want
不好意思|bù hǎoyìsi|Excuse me
不久|bùjiǔ|soon
不满|bùmǎn|dissatisfied
不如|bùrú|Better
不少|bù shǎo|Many
不同|bù tóng|different
不行|bùxíng|no
不一定|bùyīdìng|uncertain
不一会儿|bù yīhuìr|A short while
部分|bùfèn|part
才|cái|talent
菜单|càidān|menu
参观|cānguān|visit
参加|cānjiā|join
草|cǎo|Grass
草地|cǎodì|grassland
层|céng|layer
查|chá|check
差不多|chàbùduō|almost
长|cháng|long
常见|cháng jiàn|common
常用|cháng yòng|Commonly used
场|chǎng|field
超过|chāoguò|Exceed
超市|chāoshì|supermarket
车辆|chēliàng|vehicle
称|chēng|say
成|chéng|become
成绩|chéngjì|score
成为|chéngwéi|become
重复|chóngfù|repeat
重新|chóngxīn|again
出发|chūfā|Set off
出国|chū//guó|Going abroad
出口|chū kǒu|exit
出门|chū//mén|Going out
出生|chūshēng|born
出现|chūxiàn|Appear
出院|chū//yuàn|Discharged from hospital
出租|chū zū|rent
出租车|chū zū chē|taxi
船|chuán|Boat
吹|chuī|blow
春节|Chūnjié|Spring Festival
春天|chūntiān|spring
词|cí|word
词典|cídiǎn|dictionary
词语|cíyǔ|words
从小|cóngxiǎo|From childhood
答应|dāying|promise
打工|dǎ//gōng|work to earn a living
打算|dǎ·suàn|Intend
打印|dǎyìn|Print
大部分|dàbùfèn|most
大大|dàdà|Big Big
大多数|dàduōshù|most
大海|dàhǎi|sea
大家|dàjiā|Everyone
大量|dàliàng|large amount
大门|dàmén|door
大人|dàrén|grown ups
大声|dà shēng|loud
大小|dàxiǎo|size
大衣|dàyī|overcoat
大自然|dàzìrán|Nature
带|dài|bring
带来|dài·lái|bring
单位|dānwèi|unit
但|dàn|but
但是|dànshì|but
蛋|dàn|Egg
当|dāng|when
当时|dāngshí|then
倒|dǎo|fall
到处|dàochù|everywhere
倒|dào|fall
道|dào|road
道理|dào·lǐ|reason
道路|dàolù|the way
得|de|have to
得出|déchū|The conclusion is
的话|dehuà|If
得|dé|have to
灯|dēng|lamp
等|děng|wait
等到|děngdào|wait until
等于|děngyú|equal
低|dī|Low
地球|dìqiú|Earth
地铁|dìtiě|subway
地铁站|dìtiězhàn|metro station
点头|diǎntóu|nod
店|diàn|shop
掉|diào|Lose
东北|dōngběi|northeast
东方|dōngfāng|East
东南|dōngnán|southeast
冬天|dōngtiān|winter
懂|dǒng|Understand
懂得|dǒngde|know
动物|dòngwù|animal
动物园|dòngwùyuán|zoo
读音|dúyīn|pronunciation
度|dù|Spend
短|duǎn|short
短信|duǎnxìn|Short message
段|duàn|part
队|duì|Team
队长|duì zhǎng|team leader
对|duì|right
对话|duìhuà|dialogue
