岸|/àn/|shore
案例|/ànlì/|Case
按摩|/ànmó/|massage
暗示|/ànshì/|hint
昂贵|/ángguì/|expensive
白白|/báibái/|in vain
白领|/báilǐng/|white collar
摆|/bǎi/|put
摆放|/bǎifàng/|Placement
百分点|/bǎifēndiǎn/|percentage point
百货|/bǎihuò/|Department Store
摆脱|/bǎituō/|get rid of
败|/bài/|defeat
拜访|/bàifǎng/|visit
拜年|/bàinián/|pay a New Year call
版|/bǎn/|version
版本|/bǎnběn/|Version
伴随|/bànsuí/|Accompanied
扮演|/bànyǎn/|Playing
榜样|/bǎngyàng/|example
棒球|/bàngqiú/|baseball
保管|/bǎoguǎn/|custody
保健|/bǎojiàn/|health care
保暖|/bǎonuǎn/|Keep warm
保修|/bǎoxiū/|Warranty
保障|/bǎozhàng/|Assure
爆|/bào/|burst
爆发|/bàofā/|break out
报刊|/bàokān/|press
暴力|/bàolì/|Violence
暴露|/bàolù/|Exposure
报社|/bàoshè/|Newspaper
爆炸|/bàozhà/|explode
悲观|/bēiguān/|pessimistic
悲剧|/bēijù/|tragedy
悲伤|/bēishāng/|sad
北极|/běijí/|Arctic
北美洲|/Běiměizhōu/|North America
被动|/bèidòng/|passive
被迫|/bèipò/|Forced
背心|/bèixīn/|Vest
备用|/bèiyòng/|spare
倍增|/bèizēng/|Doubling
奔跑|/bēnpǎo/|run
本能|/běnnéng/|instinct
本身|/běnshēn/|itself
本土|/běntǔ/|Local
逼|/bī/|force
比方|/bǐfang/|For example
比重|/bǐzhòng/|proportion
闭|/bì/|close
避|/bì/|avoid
必修|/bìxiū/|Required
编|/biān/|Editor
编辑|/biānjí/|edit
编写|/biānxiě/|write
遍地|/biàndì/|Everywhere
便捷|/biànjié/|Convenient
变质|/biànzhì/|Deterioration
兵|/bīng/|soldiers
病毒|/bìngdú/|Virus
播|/bō/|broadcast
播种|/bōzhǒng/|sowing
博览会|/bólǎnhuì/|Expo
薄弱|/bóruò/|weak
脖子|/bózi/|neck
不耐烦|/bú nàifán/|impatient
不顾|/búgù/|regardless of
不料|/búliào/|unexpectedly
不适|/búshì/|discomfort
不至于|/búzhìyú/|Not to the point
补|/bǔ/|repair
捕|/bǔ/|catch
补偿|/bǔcháng/|compensate
补课|/bǔkè/|Tutoring
补贴|/bǔtiē/|subsidy
补习|/bǔxí/|Tutoring
布|/bù/|cloth
不安|/bù'ān/|disturbed
不曾|/bùcéng/|Never
不成|/bùchéng/|Unsuccessful
不得|/bùdé/|No
部队|/bùduì/|force
不禁|/bùjīn/|Unable to
不时|/bùshí/|From time to time
部位|/bùwèi/|Part
不许|/bùxǔ/|No
不宜|/bùyí/|Not suitable
不已|/bùyǐ/|Unending
布置|/bùzhì/|Arrangement
不止|/bùzhǐ/|more than
步骤|/bùzhòu/|step
猜测|/cāicè/|guess
财产|/cáichǎn/|property
财富|/cáifù/|wealth
才华|/cáihuá/|talent
才能|/cáinéng/|Talent
财务|/cáiwù/|finance
财物|/cáiwù/|property
材质|/cáizhì/|Material
踩|/cǎi/|step on
采购|/cǎigòu/|purchase
彩虹|/cǎihóng/|rainbow
采集|/cǎijí/|collection
采纳|/cǎinà/|adoption
彩票|/cǎipiào/|Lottery
参展|/cānzhǎn/|Exhibitor
残疾|/cánjí/|Disability
仓库|/cāngkù/|storehouse
草原|/cǎoyuán/|grassland
侧|/cè/|side
策划|/cèhuà/|plan
测量|/cèliáng/|Measurement
策略|/cèlüè/|Strategy
层次|/céngcì/|level
层面|/céngmiàn/|level
叉|/chā/|fork
差异|/chāyì/|difference
插座|/chāzuò/|socket
查询|/cháxún/|Query
拆除|/chāichú/|tear down
产出|/chǎnchū/|output
产地|/chǎndì/|Place of origin
肠|/cháng/|intestinal
长短|/chángduǎn/|length
常规|/chángguī/|conventional
常年|/chángnián/|year-round
长寿|/chángshòu/|longevity
常温|/chángwēn/|normal temperature
场次|/chǎngcì/|Matches
场地|/chǎngdì/|site
场馆|/chǎngguǎn/|venue
场合|/chǎnghé/|occasion
厂家|/chǎngjiā/|factory
场景|/chǎngjǐng/|Scene
场面|/chǎngmiàn/|scene
厂商|/chǎngshāng/|Manufacturers
畅通|/chàngtōng/|Smooth
畅销|/chàngxiāo/|Bestselling
抄|/chāo/|copy
超越|/chāoyuè/|Beyond
朝代|/cháodài/|dynasty
潮流|/cháoliú/|trend
潮湿|/cháoshī/|damp
嘲笑|/cháoxiào/|laugh at
炒股|/chǎogǔ/|Stock trading
吵架|/chǎojià/|quarrel
撤回|/chèhuí/|withdraw
撤销|/chèxiāo/|Cancel
沉重|/chénzhòng/|heavy
趁|/chèn/|take advantage of
撑|/chēng/|support
称号|/chēnghào/|title
称呼|/chēnghu/|call
称作|/chēngzuò/|Called
成|/chéng/|become
乘|/chéng/|take
盛|/chéng/|Sheng
承办|/chéngbàn/|Undertake
惩罚|/chéngfá/|punish
成交|/chéngjiāo/|make a deal
承诺|/chéngnuò/|promise
成千上万|/chéngqiān-shàngwàn/|Thousands of
呈现|/chéngxiàn/|Presentation
成效|/chéngxiào/|Results
诚信|/chéngxìn/|Honesty
成语|/chéngyǔ/|idiom
城镇|/chéngzhèn/|town
持久|/chíjiǔ/|lasting
持有|/chíyǒu/|hold
尺|/chǐ/|ruler
尺寸|/chǐcùn/|size
冲动|/chōngdòng/|impulse
冲击|/chōngjī/|Impact
充实|/chōngshí/|Enrich
冲突|/chōngtū/|conflict
崇拜|/chóngbài/|worship
重建|/chóngjiàn/|reconstruction
冲|/chòng/|rush
抽奖|/chōujiǎng/|lottery
抽象|/chōuxiàng/|abstract
愁|/chóu/|worry
筹备|/chóubèi/|Preparation
初步|/chūbù/|Preliminary
出场|/chūchǎng/|Appearance
初等|/chūděng/|Elementary
出境|/chūjìng/|exiting the country
出力|/chūlì/|contribute
出名|/chūmíng/|famous
出入|/chūrù/|Entry and exit
出示|/chūshì/|show
出游|/chūyóu/|travel
出于|/chūyú/|Out of
除|/chú/|remove
除非|/chúfēi/|unless
储存|/chǔcún/|store
处罚|/chǔfá/|Punishment
储蓄|/chǔxù/|Savings
处处|/chùchù/|Everywhere
穿过|/chuānguò/|Pass through
传承|/chuánchéng/|Inheritance
传达|/chuándá/|convey
传染|/chuánrǎn/|infect
传染病|/chuánrǎnbìng/|infectious disease
传授|/chuánshòu/|teach
传输|/chuánshū/|transmission
传真|/chuánzhēn/|fax
船只|/chuánzhī/|vessel
串|/chuàn/|string
窗口|/chuāngkǒu/|window
闯|/chuǎng/|Break
创办|/chuàngbàn/|Found
创建|/chuàngjiàn/|create
创立|/chuànglì/|Establishment
创意|/chuàngyì/|Creativity
垂直|/chuízhí/|vertical
纯|/chún/|pure
瓷器|/cíqì/|porcelain
此刻|/cǐkè/|now
刺|/cì/|prick
次数|/cìshù/|frequency
匆匆|/cōngcōng/|hurriedly
匆忙|/cōngmáng/|hurry
从未|/cóngwèi/|Never
从业|/cóngyè/|occupation
醋|/cù/|vinegar
脆|/cuì/|crisp
脆弱|/cuìruò/|Fragile
村庄|/cūnzhuāng/|village
存储|/cúnchǔ/|storage
寸|/cùn/|inch
挫折|/cuòzhé/|frustration
搭|/dā/|take
搭配|/dāpèi/|Matching
答复|/dáfù/|reply
打交道|/dǎ jiāodao/|Dealing with
打动|/dǎdòng/|move
打击|/dǎjī/|strike
打架|/dǎjià/|fight
打卡|/dǎkǎ/|Check-in
打雷|/dǎléi/|thunder
打造|/dǎzào/|Create
打仗|/dǎzhàng/|fight
大臣|/dàchén/|Minister
大吃一惊|/dàchī-yìjīng/|To my surprise
大地|/dàdì/|Earth
大都|/dàdū/|Dadu
大方|/dàfang/|Generous
大幅|/dàfú/|large
大伙儿|/dàhuǒr/|Everyone
大使|/dàshǐ/|ambassador
大师|/dàshī/|master
大洋洲|/Dàyángzhōu/|Oceania
大致|/dàzhì/|approximately
呆|/dāi/|stay
待|/dài/|treat
代价|/dàijià/|cost
贷款|/dàikuǎn/|loan
代理|/dàilǐ/|acting
带领|/dàilǐng/|lead
单纯|/dānchún/|simple
单调|/dāndiào/|monotonous
耽误|/dānwu/|hold up
担忧|/dānyōu/|Concern
蛋白质|/dànbáizhì/|protein
诞生|/dànshēng/|Birth
当场|/dāngchǎng/|on the spot
当初|/dāngchū/|At first
当代|/dāngdài/|contemporary
当今|/dāngjīn/|Today
当面|/dāngmiàn/|in person
当下|/dāngxià/|At present
当选|/dāngxuǎn/|elected
档案|/dàng’àn/|file
当天|/dàngtiān/|That day
岛|/dǎo/|island
倒闭|/dǎobì/|collapse
倒车|/dǎochē/|Reversing
导师|/dǎoshī/|tutor
道德|/dàodé/|Morality
倒是|/dàoshì/|However
得了|/déle/|Okay
得以|/déyǐ/|Enough
得知|/dézhī/|Learned
灯笼|/dēnglong/|lantern
等级|/děngjí/|grade
滴|/dī/|drop
低碳|/dītàn/|low carbon
抵达|/dǐdá/|arrival
抵抗|/dǐkàng/|resistance
地道|/dìdao/|typical
地方|/dìfāng/|place
地形|/dìxíng/|terrain
地域|/dìyù/|area
地质|/dìzhì/|Geology
点击|/diǎnjī/|Click
典礼|/diǎnlǐ/|ceremony
点燃|/diǎnrán/|ignite
典型|/diǎnxíng/|typical
电饭锅|/diànfànguō/|rice cooker
电力|/diànlì/|electricity
店铺|/diànpù/|Shop
电源|/diànyuán/|power supply
吊|/diào/|Hanging
调动|/diàodòng/|mobilization
钓鱼|/diàoyú/|fishing
跌|/diē/|fall
顶|/dǐng/|top
订单|/dìngdān/|Order
订婚|/dìnghūn/|got engaged
定价|/dìngjià/|Pricing
定时|/dìngshí/|timing
定位|/dìngwèi/|position
定义|/dìngyì/|definition
定制|/dìngzhì/|custom made
栋|/dòng/|Building
动机|/dòngjī/|motivation
动力|/dònglì/|power
动漫|/dòngmàn/|cartoon
动态|/dòngtài/|dynamic
动听|/dòngtīng/|melodious
逗|/dòu/|tease
斗争|/dòuzhēng/|struggle
都市|/dūshì/|city
毒|/dú/|poison
渡|/dù/|Crossing
端|/duān/|end
短缺|/duǎnquē/|shortage
对称|/duìchèn/|symmetry
对接|/duìjiē/|docking
对抗|/duìkàng/|confrontation
对立|/duìlì/|opposition
对应|/duìyìng/|correspond
蹲|/dūn/|squat
顿时|/dùnshí/|Immediately
多才多艺|/duōcái-duōyì/|versatile
多亏|/duōkuī/|Thanks
多媒体|/duōméitǐ/|multimedia
多余|/duōyú/|Redundant
多元|/duōyuán/|Diverse
夺|/duó/|Seize
夺取|/duóqǔ/|seize
躲避|/duǒbì/|Dodge
恶心|/ěxin/|nausea
恶劣|/èliè/|bad
儿科|/érkē/|Pediatrics
耳环|/ěrhuán/|earrings
二氧化碳|/èryǎnghuàtàn/|carbon dioxide
发病|/fābìng/|Onset of illness
发愁|/fāchóu/|worry
发电|/fādiàn/|Power generation
发动|/fādòng/|launch
发放|/fāfàng/|Distribution
发光|/fāguāng/|Light
发票|/fāpiào/|bill
发行|/fāxíng/|issued
发炎|/fāyán/|inflamed
发育|/fāyù/|development
法定|/fǎdìng/|legal
法官|/fǎguān/|Judge
法规|/fǎguī/|Regulations
番|/fān/|Fan
繁忙|/fánmáng/|busy
凡是|/fánshì/|all
繁殖|/fánzhí/|Reproduction
反馈|/fǎnkuì/|feedback
反思|/fǎnsī/|Reflection
犯|/fàn/|Offender
方方面面|/fāngfāngmiànmiàn/|All aspects
方位|/fāngwèi/|position
方言|/fāngyán/|dialect
妨碍|/fáng’ài/|Obstacles
房价|/fángjià/|housing prices
防治|/fángzhì/|Prevention and control
访谈|/fǎngtán/|Interview
放大|/fàngdà/|enlarge
放飞|/fàngfēi/|Let go
飞速|/fēisù/|fast
肥|/féi/|Fat
肥胖|/féipàng/|obesity
肥沃|/féiwò/|fertile
肺|/fèi/|lung
肺炎|/fèiyán/|pneumonia
分工|/fēngōng/|Division of labor
分级|/fēnjí/|Classification
分期|/fēnqī/|Installments
分散|/fēnsàn/|dispersion
氛围|/fēnwéi/|Atmosphere
粉|/fěn/|pink
愤怒|/fènnù/|anger
封闭|/fēngbì/|Closed
风光|/fēngguāng/|Scenery
风力|/fēnglì/|wind
丰收|/fēngshōu/|Harvest
风雨|/fēngyǔ/|wind and rain
奉献|/fèngxiàn/|Dedication
夫人|/fūrén/|lady
服|/fú/|Clothes
浮|/fú/|float
服从|/fúcóng/|obey
幅度|/fúdù/|amplitude
符号|/fúhào/|symbol
福利|/fúlì/|Welfare
服用|/fúyòng/|Take
辅导|/fǔdǎo/|Tutoring
辅助|/fǔzhù/|Support
副|/fù/|vice
覆盖|/fùgài/|cover
附件|/fùjiàn/|appendix
负面|/fùmiàn/|negative
富裕|/fùyù/|rich
赋予|/fùyǔ/|Give
该|/gāi/|Should
改编|/gǎibiān/|adaptation
改造|/gǎizào/|Transformation
概率|/gàilǜ/|probability
肝|/gān/|liver
干脆|/gāncuì/|simply
尴尬|/gāngà/|Awkward
干旱|/gānhàn/|drought
干扰|/gānrǎo/|interference
干燥|/gānzào/|dry
感激|/gǎnjī/|gratitude
赶忙|/gǎnmáng/|quickly
感染|/gǎnrǎn/|Infect
感想|/gǎnxiǎng/|Thoughts
钢笔|/gāngbǐ/|pen
港口|/gǎngkǒu/|port
岗位|/gǎngwèi/|post
高层|/gāocéng/|High-level
高超|/gāochāo/|superb
高等|/gāoděng/|higher
高端|/gāoduān/|high-end
高峰|/gāofēng/|peak
高尚|/gāoshàng/|noble
高手|/gāoshǒu/|Master
高新技术|/gāoxīn-jìshù/|High technology
高原|/gāoyuán/|plateau
稿件|/gǎojiàn/|Manuscript
稿子|/gǎozi/|Manuscript
割|/gē/|cut
歌唱|/gēchàng/|singing
隔壁|/gébì/|next door
革命|/gémìng/|revolution
个体|/gètǐ/|individual
给予|/jǐyǔ/|give
跟前|/gēnqián/|in front of
跟随|/gēnsuí/|follow
跟踪|/gēnzōng/|track
公|/gōng/|male
宫|/gōng/|palace
公安|/gōng’ān/|public security
工地|/gōngdì/|construction site
工夫|/gōngfu/|time
公告|/gōnggào/|announcement
供给|/gōngjǐ/|supply
攻击|/gōngjī/|attack
公开|/gōngkāi/|public
公民|/gōngmín/|citizen
公认|/gōngrèn/|accepted
功效|/gōngxiào/|effect
工序|/gōngxù/|Process
公益|/gōngyì/|Public welfare
供应|/gōngyìng/|supply
公元|/gōngyuán/|A.D.
公正|/gōngzhèng/|just
公众|/gōngzhòng/|public
公主|/gōngzhǔ/|Princess
巩固|/gǒnggù/|Consolidate
共计|/gòngjì/|total
沟|/gōu/|ditch
构造|/gòuzào/|structure
孤独|/gūdú/|Lonely
姑姑|/gūgu/|aunt
古典|/gǔdiǎn/|classical
古迹|/gǔjì/|ancient sites
股票|/gǔpiào/|stock
古人|/gǔrén/|the ancients
股市|/gǔshì/|stock market
骨头|/gǔtou/|bone
鼓舞|/gǔwǔ/|Encouragement
顾|/gù/|Gu
固体|/gùtǐ/|solid
顾问|/gùwèn/|consultant
故障|/gùzhàng/|Fault
拐|/guǎi/|Turn
拐弯|/guǎiwān/|Turn
官|/guān/|official
关爱|/guān’ài/|care
官方|/guānfāng/|official
观光|/guānguāng/|go sightseeing
关怀|/guānhuái/|care
关联|/guānlián/|Related
观赏|/guānshǎng/|Viewing
官员|/guānyuán/|Officials
管道|/guǎndào/|pipeline
罐|/guàn/|Can
广阔|/guǎngkuò/|broad
归|/guī/|Return
规范|/guīfàn/|specification
规划|/guīhuà/|planning
归还|/guīhuán/|return
规矩|/guīju/|rule
轨道|/guǐdào/|track
跪|/guì/|kneel
贵重|/guìzhòng/|precious
棍|/gùn/|stick
国宝|/guóbǎo/|national treasure
国产|/guóchǎn/|Domestic
国歌|/guógē/|National anthem
国旗|/guóqí/|National flag
国情|/guóqíng/|National conditions
国王|/guówáng/|king
过渡|/guòdù/|transition
过后|/guòhòu/|After
过时|/guòshí/|outdated
海内外|/hǎi nèiwài/|Domestic and international
海岸|/hǎi’àn/|coastal
海拔|/hǎibá/|altitude
海面|/hǎimiàn/|sea ​​surface
海域|/hǎiyù/|Sea area
害|/hài/|Harmful
寒冬|/hándōng/|cold winter
含义|/hányì/|meaning
罕见|/hǎnjiàn/|rare
旱灾|/hànzāi/|drought
航空|/hángkōng/|aviation
毫不|/háobù/|Absolutely
毫无|/háowú/|No
毫米|/háomǐ/|millimeters
毫升|/háoshēng/|milliliters
好不|/hǎobù/|Okay?
好感|/hǎogǎn/|Goodwill
好容易|/hǎoróngyì/|with great difficulty
好客|/hàokè/|hospitable
好学|/hàoxué/|Eager to learn
号召|/hàozhào/|Call to action
合并|/hébìng/|merge
合成|/héchéng/|synthesis
和平|/hépíng/|Peace
和谐|/héxié/|harmonious
核心|/héxīn/|core
嘿|/hēi/|Hey
